Week Start (Sunday),bitcoin
2015-01-04,48.40625
2015-01-11,46.624761904761904
2015-01-18,49.49166666666667
2015-01-25,45.688809523809525
2015-02-01,61.22904761904761
2015-02-08,56.62071428571429
2015-02-15,56.46547619047619
2015-02-22,31.876666666666665
2015-03-01,29.235714285714284
2015-03-08,51.365
2015-03-15,55.15666666666666
2015-03-22,55.87547619047619
2015-03-29,51.62547619047619
2015-04-05,48.50714285714286
2015-04-12,45.67642857142857
2015-04-19,46.76619047619048
2015-04-26,45.21904761904762
2015-05-03,45.88428571428572
2015-05-10,48.49880952380953
2015-05-17,37.09238095238095
2015-05-24,35.660000000000004
2015-05-31,47.890952380952385
2015-06-07,50.097857142857144
2015-06-14,50.52238095238095
2015-06-21,31.064523809523813
2015-06-28,20.058095238095238
2015-07-05,47.44380952380953
2015-07-12,56.4397619047619
2015-07-19,52.79404761904762
2015-07-26,55.69761904761905
2015-08-02,57.45095238095238
2015-08-09,55.770714285714284
2015-08-16,57.619285714285716
2015-08-23,58.31857142857143
2015-08-30,62.144285714285715
2015-09-06,60.0797619047619
2015-09-13,55.82047619047619
2015-09-20,58.04190476190477
2015-09-27,54.532380952380954
2015-10-04,51.46047619047619
2015-10-11,48.766666666666666
2015-10-18,43.228809523809524
2015-10-25,49.437619047619044
2015-11-01,43.48428571428571
2015-11-08,50.97785714285715
2015-11-15,51.29976190476191
2015-11-22,59.619523809523805
2015-11-29,55.68714285714286
2015-12-06,44.49476190476191
2015-12-13,54.395714285714284
2015-12-20,58.18904761904762
2015-12-27,61.29642857142857
2016-01-03,50.83190476190476
2016-01-10,52.36309523809524
2016-01-17,56.43380952380953
2016-01-24,60.47785714285715
2016-01-31,59.887619047619054
2016-02-07,61.235476190476184
2016-02-14,59.39785714285714
2016-02-21,63.67
2016-02-28,61.012619047619054
2016-03-06,55.54904761904762
2016-03-13,53.059047619047625
2016-03-20,60.024047619047614
2016-03-27,58.2047619047619
2016-04-03,57.566904761904766
2016-04-10,56.06642857142857
2016-04-17,52.89047619047619
2016-04-24,47.65523809523809
2016-05-01,31.21690476190476
2016-05-08,51.33119047619048
2016-05-15,52.035000000000004
2016-05-22,55.83642857142858
2016-05-29,56.922380952380955
2016-06-05,62.44857142857143
2016-06-12,52.68571428571429
2016-06-19,61.31952380952381
2016-06-26,54.863095238095234
2016-07-03,58.33357142857143
2016-07-10,60.582857142857144
2016-07-17,47.383809523809525
2016-07-24,44.35595238095238
2016-07-31,36.642380952380954
2016-08-07,52.259523809523806
2016-08-14,53.80357142857143
2016-08-21,54.724761904761905
2016-08-28,54.32285714285714
2016-09-04,61.990476190476194
2016-09-11,60.22404761904762
2016-09-18,52.547619047619044
2016-09-25,54.19047619047619
2016-10-02,52.40809523809524
2016-10-09,56.298571428571435
2016-10-16,61.059999999999995
2016-10-23,58.35095238095238
2016-10-30,52.28523809523809
2016-11-06,43.71309523809524
2016-11-13,51.42714285714286
2016-11-20,61.33809523809524
2016-11-27,63.42238095238095
2016-12-04,66.98880952380952
2016-12-11,64.47
2016-12-18,60.21357142857143
2016-12-25,64.01071428571429
2017-01-01,50.79785714285714
2017-01-08,64.88095238095238
2017-01-15,58.610238095238095
2017-01-22,60.040952380952376
2017-01-29,60.58142857142857
2017-02-05,65.30452380952381
2017-02-12,64.55642857142857
2017-02-19,61.370000000000005
2017-02-26,67.1295238095238
2017-03-05,59.05119047619048
2017-03-12,41.64071428571429
2017-03-19,48.297619047619044
2017-03-26,68.03166666666667
2017-04-02,61.42952380952381
2017-04-09,63.16690476190475
2017-04-16,64.62785714285714
2017-04-23,61.33261904761905
2017-04-30,57.00428571428571
2017-05-07,60.82285714285714
2017-05-14,63.157380952380954
2017-05-21,51.49095238095238
2017-05-28,62.26142857142857
2017-06-04,48.28928571428571
2017-06-11,62.62619047619047
2017-06-18,59.890952380952385
2017-06-25,57.26714285714286
2017-07-02,73.53214285714286
2017-07-09,63.61380952380953
2017-07-16,70.26380952380953
2017-07-23,67.10428571428572
2017-07-30,48.13333333333333
2017-08-06,63.362857142857145
2017-08-13,62.11380952380953
2017-08-20,77.57857142857142
2017-08-27,71.92690476190477
2017-09-03,74.17690476190477
2017-09-10,66.99880952380953
2017-09-17,65.30738095238095
2017-09-24,57.18976190476191
2017-10-01,71.55547619047618
2017-10-08,68.24833333333333
2017-10-15,60.21166666666666
2017-10-22,54.037142857142854
2017-10-29,57.51
2017-11-05,62.08047619047619
2017-11-12,53.51642857142857
2017-11-19,54.19714285714286
2017-11-26,39.70214285714286
2017-12-03,48.46642857142857
2017-12-10,48.36833333333333
2017-12-17,38.90642857142858
2017-12-24,49.40809523809524
2017-12-31,55.096428571428575
2018-01-07,70.77761904761904
2018-01-14,49.38666666666666
2018-01-21,50.6752380952381
2018-01-28,60.15333333333333
2018-02-04,53.29309523809524
2018-02-11,59.25904761904762
2018-02-18,66.52095238095238
2018-02-25,76.50857142857141
2018-03-04,68.0942857142857
2018-03-11,62.69642857142857
2018-03-18,59.49595238095238
2018-03-25,41.446666666666665
2018-04-01,48.02357142857143
2018-04-08,67.29357142857143
2018-04-15,70.1595238095238
2018-04-22,64.0454761904762
2018-04-29,76.92833333333333
2018-05-06,74.49690476190476
2018-05-13,71.20119047619048
2018-05-20,66.32880952380953
2018-05-27,70.7304761904762
2018-06-03,73.72500000000001
2018-06-10,63.07119047619047
2018-06-17,69.15357142857142
2018-06-24,63.194761904761904
2018-07-01,63.6997619047619
2018-07-08,63.637857142857136
2018-07-15,51.462857142857146
2018-07-22,57.95976190476191
