Day,bitcoin
2015-07-31,41.375
2015-08-01,68.29166666666667
2015-08-02,55.416666666666664
2015-08-03,51.166666666666664
2015-08-04,49.875
2015-08-05,47.375
2015-08-06,65.52
2015-08-07,57.375
2015-08-08,55.875
2015-08-09,63.208333333333336
2015-08-10,64.29166666666667
2015-08-11,65.70833333333333
2015-08-12,63.833333333333336
2015-08-13,54.96
2015-08-14,49.083333333333336
2015-08-15,50.625
2015-08-16,54.833333333333336
2015-08-17,50.125
2015-08-18,55.375
2015-08-19,74.33333333333333
2015-08-20,59.48
2015-08-21,57.5
2015-08-22,56.875
2015-08-23,54.541666666666664
2015-08-24,65.5
2015-08-25,71.29166666666667
2015-08-26,56.416666666666664
2015-08-27,65.76
2015-08-28,58.833333333333336
2015-08-29,58.5
2015-08-30,58.708333333333336
2015-08-31,57.125
2015-09-01,59.625
2015-09-02,61.916666666666664
2015-09-03,58.6
2015-09-04,65.16666666666667
2015-09-05,57.583333333333336
2015-09-06,60.541666666666664
2015-09-07,55.791666666666664
2015-09-08,62.75
2015-09-09,65.95833333333333
2015-09-10,48.16
2015-09-11,48.125
2015-09-12,52.833333333333336
2015-09-13,57.125
2015-09-14,56.833333333333336
2015-09-15,55.583333333333336
2015-09-16,62.166666666666664
2015-09-17,61.96
2015-09-18,61.208333333333336
2015-09-19,53.083333333333336
2015-09-20,55.458333333333336
2015-09-21,53.416666666666664
2015-09-22,59.916666666666664
2015-09-23,60.458333333333336
2015-09-24,53.56
2015-09-25,52.25
2015-09-26,49.791666666666664
2015-09-27,52.333333333333336
2015-09-28,48.625
2015-09-29,50.458333333333336
2015-09-30,54.583333333333336
2015-10-01,51.64
2015-10-02,56.208333333333336
2015-10-03,50.916666666666664
2015-10-04,47.791666666666664
2015-10-05,55.583333333333336
2015-10-06,63.791666666666664
2015-10-07,53.916666666666664
2015-10-08,44.2
2015-10-09,41.0
2015-10-10,42.458333333333336
2015-10-11,40.416666666666664
2015-10-12,40.041666666666664
2015-10-13,41.291666666666664
2015-10-14,41.25
2015-10-15,44.56
2015-10-16,43.041666666666664
2015-10-17,45.458333333333336
2015-10-18,46.958333333333336
2015-10-19,44.166666666666664
2015-10-20,47.916666666666664
2015-10-21,49.708333333333336
2015-10-22,54.48
2015-10-23,50.458333333333336
2015-10-24,48.916666666666664
2015-10-25,50.416666666666664
2015-10-26,53.666666666666664
2015-10-27,55.541666666666664
2015-10-28,56.625
2015-10-29,36.64
2015-10-30,36.958333333333336
2015-10-31,31.458333333333332
2015-11-01,33.5
2015-11-02,39.541666666666664
2015-11-03,54.083333333333336
2015-11-04,73.41666666666667
2015-11-05,68.72
2015-11-06,45.833333333333336
2015-11-07,40.291666666666664
2015-11-08,34.958333333333336
2015-11-09,40.5
2015-11-10,39.0
2015-11-11,37.041666666666664
2015-11-12,67.64
2015-11-13,66.20833333333333
2015-11-14,53.041666666666664
2015-11-15,55.666666666666664
2015-11-16,58.791666666666664
2015-11-17,64.66666666666667
2015-11-18,61.875
2015-11-19,57.92
2015-11-20,61.0
2015-11-21,59.75
2015-11-22,53.333333333333336
2015-11-23,55.041666666666664
2015-11-24,55.291666666666664
2015-11-25,51.208333333333336
2015-11-26,59.56
2015-11-27,57.375
2015-11-28,55.041666666666664
2015-11-29,56.291666666666664
2015-11-30,64.375
2015-12-01,64.54166666666667
2015-12-02,66.04166666666667
2015-12-03,32.88
2015-12-04,28.375
2015-12-05,26.416666666666668
2015-12-06,28.833333333333332
2015-12-07,29.0
2015-12-08,39.958333333333336
2015-12-09,80.54166666666667
2015-12-10,72.52
2015-12-11,57.458333333333336
2015-12-12,53.583333333333336
2015-12-13,47.708333333333336
2015-12-14,46.75
2015-12-15,52.958333333333336
2015-12-16,47.791666666666664
2015-12-17,72.24
2015-12-18,66.875
2015-12-19,58.458333333333336
2015-12-20,62.25
2015-12-21,65.5
2015-12-22,60.708333333333336
2015-12-23,63.833333333333336
2015-12-24,65.2
2015-12-25,53.583333333333336
2015-12-26,60.875
2015-12-27,59.375
2015-12-28,57.291666666666664
2015-12-29,58.083333333333336
2015-12-30,61.458333333333336
2015-12-31,48.24
2016-01-01,41.291666666666664
2016-01-02,39.666666666666664
2016-01-03,49.791666666666664
2016-01-04,46.041666666666664
2016-01-05,50.416666666666664
2016-01-06,46.416666666666664
2016-01-07,60.0
2016-01-08,62.5
2016-01-09,54.208333333333336
2016-01-10,46.958333333333336
2016-01-11,52.5
2016-01-12,46.875
2016-01-13,52.958333333333336
2016-01-14,47.12
2016-01-15,65.16666666666667
2016-01-16,67.875
2016-01-17,62.541666666666664
2016-01-18,59.166666666666664
2016-01-19,57.625
2016-01-20,61.333333333333336
2016-01-21,66.72
2016-01-22,63.25
2016-01-23,61.791666666666664
2016-01-24,53.458333333333336
2016-01-25,55.625
2016-01-26,59.458333333333336
2016-01-27,54.958333333333336
2016-01-28,65.88
2016-01-29,64.66666666666667
2016-01-30,59.25
2016-01-31,59.375
